电影名,点击数
1024分辨率《东成西就2011》BD国粤双语中字,294 
2014年美国动画短片《玩具总动员:遗忘的时光》BD国粤英3语中字,227 
2011最新周冬雨/梁咏琪《倾城之泪》DVDscr中字,28 
09新片1024分辨率《失落的大陆》BD中英双字,143 
2013年日本7分剧情片《奇迹的苹果》HD日语中字,787 
2012最新恐怖《半夜不要照镜子》DVDscr国语中字,13 
超刺激动作科幻大片《决战猩球》DVD中字,88 
<font color='#FF0000'>08周润发抗日大片《黄石任务》DVD中字</font>,42 
2011最新《薯条战争》DVD中英双字,5 
1024分辨率《僵尸日记2：世界之死》BD中英双字,63 
2014年范逸臣张瑶爱情悬疑片《与贼同屋》HD中英双字,1374 
09大片1024分辨率《前女友们的幽灵》BD中英双字,15 
2016年美国6.7分剧情片《母亲的双眼》BD中英双字,482 
1024分辨率《黑名单/暗杀名单》BD中英双字无水印,122 
2013年美国6.2分剧情惊悚片《凯特·麦考的审判》BD中英双字,1311 
国粤日三语《名侦探柯南2007：蔚蓝色的灵柩》BD中文字幕,200 
<font color='#FF0000'>07最新喜剧大片《永不止步：戴维·寇克斯传》DVD中字</font>,7 
2012最新《喜羊羊与灰太狼之开心闯龙年》DVDscr中字,107 
轰动全美超火爆奇幻动作片《地狱神探》DVD中字,954 
1024分辨率《太空炮弹/宇宙奇航》BD中英双字,50 
2015年日本6.7分动作惊悚片《真实魔鬼游戏》BD日语中字,4897 
09最新动作大片《夺命手机》DVD中英双字,12 
2002年美国7.6分动画冒险片《冰河世纪》BD国英粤3语双字,2074 
2015年美国6.9分悬疑惊悚片《猩红山峰》BD中英双字重制版,1008 
1024分辨率《幽灵战队》BD中英双字无水印,18 
2010最新冒险《回来的路/归途》DVD中英双字,25 
1024分辨率《穿孔/刺穿》BD中英双字,51 
2012年最新《冰河世纪4》720p.英国粤三语.BD中英双字幕,980 
2015年李治廷惊悚片《怪谈/夜半奇谭之附近的人》BD国语中字,2799 
2014年美国6.3分剧情片《吸大麻的孩子》BD中英双字,1286 
<font color='#FF0000'>06最新超火爆灾难大片《龙卷风暴:天怒》DVD-R中字</font>,77 
性感美女最新幻想喜剧大片《独家新闻》DVD中字,39 
2013年岁末献映国产喜剧片《私人订制》HD中英双字,3510 
2015年美国6分剧情片《掘火者》BD中英双字,20 
2015年日本喜剧片《再见金钱，前往贫困村》BD日语中字,35 
最新火爆动作猛片《海军陆战队员》真正DVD中字,125 
2014年国产冒险奇幻片《巴啦啦小魔仙之魔法的考验》HD国语中字,551 
07吴彦祖周迅火爆大片《明明》DVD粤语中字,49 
1024分辨率《波西·杰克逊与神火之盗》BD中英双字无水印,646 
1024分辨率《不可饶恕》BD中英双字,173 
<font color='#FF0000'>08最新高分大片《飞出个未来：大电影3》DVD中英双字</font>,30 
2009年美国7.9分科幻片《阿凡达》BD国英双语双字,8826 
2013年杰森斯坦森动作犯罪片《家园防线》HD英语中字,1493 
美1区终极收藏版《12猴子》DVD国语,196 
<font color='#FF0000'>07最新恐怖大片《恶魔在身后》DVD-R中字</font>,18 
2012年日本警匪动作片《莫逆家族》BD高清中字,360 
2011最新《汉密尔顿：国家利益》720p.BD中英双字幕,51 
09手机电影《姐姐的守护者》3gp+mp4清晰大字幕,21 
2009年美国动作犯罪片《速度与激情4》BD国英双语双字典藏版,23072 
2014年英国6.5分剧情爱情片《看不见的女人》BD中英双字,817 
08喜剧短片《天黑·夏午·阖家观赏》DVD中字,8 
2012年恐怖《劫匪与僵尸》720p.BD中英双字幕,253 
08科幻动作大片《变异编年史》DVD中英双字,91 
1024分辨率《地下拳击场》BD中英双字,24 
2016年6.7分日本喜剧片《变态假面：变态危机》BD日语中字,1353 
2013年法国7分剧情片《花容月貌》BD法语中字,1088 
2001年美国动作科幻片《侏罗纪公园3》BD中英双字,13689 
2011最新朱时茂/邬君梅/杨恭如《戒烟不戒酒》DVD中字,22 
2015年日本喜剧爱情片《吸血鬼之恋》BD日语中字,63 
<font color='#0000FF'>艾尔.帕西诺惊悚动作大片《88分钟》DVD中字</font>,50 
2012年惊悚动作《公司职员》720p.BD中字,337 
2005年喜剧《相见恨早》720p.BD中英双字幕,44 
<font color='#FF0000'>08最新高分获奖励志大片《拆车场的朝阳》DVD中字</font>,30 
2010最新/马特·达蒙《绿色地带/叛逆谍战》DVD中英双字,376 
2015年匈牙利6.9分剧情片《白色上帝/狗眼看人间》BD中字,258 
2015年美国6.1分喜剧音乐片《万圣年代/一万嬉皮》BD中英双字,4 
1024分辨率《天军》HD中字,48 
最新手机电影《唐伯虎点秋香2》3gp+mp4清晰大字幕,27 
经典动画大片《冰河世纪》DVD中字,176 
2015年黄晓明杨幂爱情片《何以笙箫默电影版》HD国语中字,9683 
<font color='#FF0000'>1024分辨率《第81届奥斯卡金像奖颁奖典礼》HDTV中字</font>,30 
2015年杜海涛剧情儿童片《天边的孩子》HD国语中字,1313 
1024分辨率《爱很复杂/为爱迷失》BD中英双字无水印,32 
2014年国产剧情爱情片《花开与你的半夏》HD国语中字,791 
2012最新《灵异隧道实录》1024x576.BD中英双字幕,55 
2015年比利时动作冒险片《奇异之旅/恋人们》BD中英双字,1278 
<font color='#FF0000'>2008最新大片《悲恋三人行》DVD中字</font>,10 
2012年科幻《莫斯科2017》720p.BD中英双字幕,159 
超火爆战争动作大片《乱世骄雄》DVD中字,14 
<font color='#FF0000'>1024分辨率《如何众叛亲离》BD中英双字</font>,17 
2015年美国动作片《速度与激情1-7系列》BD双语双字典藏版,92713 
1024分辨率/高分经典《这个杀手不太冷》BD中英双字,1483 
<font color='#FF0000'>08最新高分大片《监狱生活》DVD中英双字幕</font>,36 
2016年国产惊悚片《怨灵地下室》HD高清国语中英双字,911 
2002年美国7.3分悬疑冒险片《哈利·波特与密室》BD双语双字,3205 
08最新冒险喜剧《星战迷友》DVD中英双字,14 
2010最新《唐伯虎点秋香2》1024x576 国粤双语中字,105 
1024分辨率《西部往事/狂沙十万里》BD中英双字无水印,123 
1024分辨率《星际旅行6》BD中英双字幕,27 
2010最新动作《失败者》DVD中英双字,53 
<font color='#FF0000'>08尼古拉斯.凯奇巨片《国家宝藏2》DVD中字</font>,114 
2012最新《暂告安全/火线反击》1024x576.BD中字,138 
1024分辨率《计划赶不上变化/密码更改》BD中英双字无水印,10 
1024分辨率《迫在眉睫》BD中字,142 
<font color='#FF0000'>2009年度大片《赤壁上+赤壁下：决战天下》BD国语中字</font>,436 
<font color='#0000FF'>不可错过精彩内容《BBC消失的古文明》DVD中字</font>,169 
2011年惊悚《河岸杀手》1024x576.BD中英双字幕,69 
2014年美国7.3分剧情传记片《百万金臂》BD中英双字,3000 
<font color='#0000FF'>2006动作大片《捧剑者》DVD中字</font>,29 
1024分辨率《铁甲衣》BD中英双字无水印,108 
2005年美国动作冒险科幻片《绝密飞行》BD国英双语双字重制版,4507 
07最新奇幻大片《贝奥武夫》DVD中字,2581 
09手机电影《黑暗乡村》3gp+mp4清晰大字幕,5 
2012最新《红色机尾》DVD中英双字,46 
07最新火爆动作大片《威震八方3》DVD中字,26 
1024分辨率《太空运输》BD中字无水印,169 
<font color='#FF0000'>07最新国人必看的大片《南京大屠杀》DVD中字</font>,523 
2013年美国8分纪录片《再见,我的新郎》BD特效中英双字,1119 
09手机电影《寻找成龙》3gp+mp4高清晰大字幕,32 
梅尔·吉布森动作大片《致命武器》BD中字,60 
2014年国产喜剧爱情片《向阳花开》HD中英双字,1333 
1024分辨率《肚皮舞娘/玩美舞娘》BD中英双字无水印,26 
最新手机电影《喋血孤城》3gp+mp4清晰大字幕,43 
1024分辨率《怦然心动/冒失》BD中英双字无水印,2548 
2016年美国6.3分喜剧爱情片《单身指南/单身啪啪啪》BD中英双字,644 
<font color='#0000FF'>陈坤周迅爱情片《鸳鸯蝴蝶》DVD中字</font>,27 
威尔·史密斯经典高票房喜剧爱情大片《重返荣耀》DVD中字,88 
<font color='#FF0000'>08最新动作大片《飓风营救》DVD听译中字（DYGOD首发）</font>,72 
2015年国产动画冒险片《金箍棒传奇2：沙僧的逆袭》HD中英双字,3725 
美国恐怖血腥巨片《女生惊魂记》DVD中字,26 
<font color='#0000FF'>决战死亡线(07尚格.云顿火爆大片)DVD中字</font>,150 
1024分辨率《怒火青春/仇恨》BD中英双字,17 
09手机电影发布《救世主2》3gp+mp4高清晰大字幕,15 
09吴奇隆、左小青、范伟最新大片《车票》DVD中字,41 
